time_start,time_end,model,launch_place,target,target_main,launched,destroyed,not_reach_goal,still_attacking,border_crossing,is_shahed,num_hit_location,num_fall_fragment_location,carrier,turbojet,turbojet_destroyed,affected region,destroyed_details,launched_details,launch_place_details
2026-01-10 18:30,2026-01-11 8:00,Shahed-136/131,"Primorsko-Akhtarsk and Kursk oblast and Bryansk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea",Ukraine,,154,125,0,7,{},110,18,2,,,,,"{'south': 15, 'west': 5, 'east': NaN, 'north': NaN}",,
2026-01-09 18:00,2026-01-10 8:30,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Millerovo",Ukraine,,121,94,0,0,{},80,15,1,,,,,"{'south': 17, 'east': NaN, 'north': NaN}",,
2026-01-09 18:00,2026-01-10 8:30,Iskander-M,Kursk oblast,Ukraine,,1,0,,,{},,,,,,,,,,
2026-01-10,2026-01-10,Молнія,,south,,12,12,,,{},,,,,,,,,,
2026-01-08 19:30,2026-01-09 9:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Kursk oblast and Oryol oblast and Millerovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,Kyiv oblast,242,226,0,0,{},150,19,0,,,,,"{'south': NaN, 'east': NaN, 'north': NaN}",,
2026-01-08 19:30,2026-01-09 9:00,Kalibr,Black Sea,Ukraine,,22,10,,,{},,,,Navi,,,,,,
2026-01-08 19:30,2026-01-09 9:00,C-400 and Iskander-M,Bryansk oblast,Ukraine,,13,8,,,{},,,,,,,,,,
2026-01-09,2026-01-09,Молнія,,south,,10,10,,,{},,,,,,,,,,
2026-01-09,2026-01-09,Orlan-10,,south,,1,1,,,{},,,,,,,,,,
2026-01-08 23:45,2026-01-08 23:50,Intercontinental ballistic missile,"Astrakhan oblast, Kapustin Yar",Lviv oblast,,1,0,,,{},,,,,,,,,,
2026-01-07 19:00,2026-01-08 8:00,Shahed-136/131,"Primorsko-Akhtarsk and Chauda, Crimea and Millerovo and Hvardiiske, Crimea and Donetsk oblast",Ukraine,Dnipropetrovsk oblast,97,70,0,0,{},70,13,1,,,,,"{'south': 23, 'east': NaN}",,
2026-01-08,2026-01-08,Молнія,,south,,4,4,,,{},,,,,,,,,,
2026-01-08,2026-01-08,Shahed-136/131,,west,,6,6,,,{},,,,,,,,,,
2026-01-06 18:00,2026-01-07 7:30,Shahed-136/131,"Primorsko-Akhtarsk and Oryol oblast and Hvardiiske, Crimea and Donetsk oblast",Ukraine,,95,81,0,0,{},60,8,5,,,,,"{'south': 26, 'east': NaN, 'north': NaN, 'center': NaN}",,
2026-01-06 18:00,2026-01-07 7:30,Iskander-M,Taganrog,Ukraine,,1,0,,,{},,,,,,,,,,
2026-01-07,2026-01-07,Молнія,,south,,8,8,,,{},,,,,,,,,,
2026-01-07,2026-01-07,Orlan-10,,south,,2,2,,,{},,,,,,,,,,
2026-01-07,2026-01-07,Iskander-M,Crimea,Odesa oblast,,2,0,,,{},,,,,,,,,,
2026-01-05 18:00,2026-01-06 8:30,Shahed-136/131,Kursk oblast and Oryol oblast and Millerovo and Donetsk oblast,Ukraine,,61,53,0,0,{},40,6,0,,,,,"{'south': 4, 'east': NaN, 'north': NaN, 'center': NaN}",,
2026-01-06,2026-01-06,Молнія,,south,,14,14,,,{},,,,,,,,,,
2026-01-04 18:00,2026-01-05 8:00,Shahed-136/131,Kursk oblast and Oryol oblast and Millerovo and Shatalovo,Ukraine,,165,137,0,2,{},100,10,9,,,,,"{'east': NaN, 'north': NaN, 'center': NaN}",,
2026-01-04 18:00,2026-01-05 8:00,C-300 and Iskander-M,Bryansk oblast and Voronezh oblast,Ukraine,,9,0,,,{},,,,,,,,,,
2026-01-05,2026-01-05,Молнія,,south,,18,18,,,{},,,,,,,,,,
2026-01-05,2026-01-05,Reconnaissance UAV,,south,,1,1,,,{},,,,,,,,,,
2026-01-03 19:00,2026-01-04 8:00,Shahed-136/131,Kursk oblast and Bryansk oblast and Oryol oblast and Donetsk oblast,Ukraine,,52,39,0,0,{},40,9,0,,,,,"{'east': NaN, 'north': NaN}",,
2026-01-04,2026-01-04,Молнія,,south,,12,12,,,{},,,,,,,,,,
